ANDES-A,Order,Family,Genus,Species,,Latitude1,Longitude1,State,,
2952,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.4327900000,-73.9204200000,Cundinamarca,,
2980,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.4327900000,-73.9204200000,Cundinamarca,,
2953,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.4327900000,-73.9204200000,Cundinamarca,,
2981,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.4327900000,-73.9204200000,Cundinamarca,,
2982,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.4327900000,-73.9204200000,Cundinamarca,,
2983,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.4327900000,-73.9204200000,Cundinamarca,,
2984,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.4327900000,-73.9204200000,Cundinamarca,,
2430,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.4328860000,-73.9206310000,Cundinamarca,,
2431,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.4329030000,-73.9206580000,Cundinamarca,,
2433,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.4329080000,-73.9206620000,Cundinamarca,,
2432,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.4329110000,-73.9206580000,Cundinamarca,,
1474,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.4367000000,-73.9194000000,Cundinamarca,,
1475,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.4367000000,-73.9194000000,Cundinamarca,,
4426,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.4367000000,-73.9194000000,Cundinamarca,,
4428,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.4367000000,-73.9194000000,Cundinamarca,,
2908,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.5431300000,-74.4355200000,Cundinamarca,,
2909,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.5431300000,-74.4355200000,Cundinamarca,,
2986,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.5431300000,-74.4355200000,Cundinamarca,,
2987,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.5431300000,-74.4355200000,Cundinamarca,,
2988,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.5431300000,-74.4355200000,Cundinamarca,,
2989,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.5431300000,-74.4355200000,Cundinamarca,,
2990,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.5431300000,-74.4355200000,Cundinamarca,,
2991,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.5431300000,-74.4355200000,Cundinamarca,,
2992,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.5431300000,-74.4355200000,Cundinamarca,,
