,ANDES-A,Order,Family,Genus,Species,Genus_species,Latitude1,Longitude1,State,State_from_coord,Is_correct,Wikipedia,Photo,Common_name,Phylum
37,2758,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137,-75.03753,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
38,2759,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137,-75.03753,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
39,2760,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137,-75.03753,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
40,2761,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137,-75.03753,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
41,2762,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137,-75.03753,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
42,2763,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137,-75.03753,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
43,2764,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137,-75.03753,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
44,2765,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137,-75.03753,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
45,2766,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137,-75.03753,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
46,2767,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137,-75.03753,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
47,2768,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137,-75.03753,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
48,2769,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137,-75.03753,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
49,2872,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137,-75.03753,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
50,2873,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137,-75.03753,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
51,2874,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137,-75.03753,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
52,2875,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137,-75.03753,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
53,2876,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137,-75.03753,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
54,2877,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137,-75.03753,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
55,2878,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137,-75.03753,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
56,2879,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137,-75.03753,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
57,2880,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137,-75.03753,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
