ANDES-A,Order,Family,Genus,Species,Genus_species,Latitude1,Longitude1,State,State_from_coord,Is_correct
2863,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True
2864,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True
2865,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True
2866,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True
2867,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True
2868,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True
2869,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True
2870,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True
2871,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True
1485,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.858,-73.264,Boyacá,Boyacá,True
1486,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.858,-73.264,Boyacá,Boyacá,True
1487,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.858,-73.264,Boyacá,Boyacá,True
2784,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.29446,-73.84969,Cundinamarca,Cundinamarca,True
2785,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.29446,-73.84969,Cundinamarca,Cundinamarca,True
2786,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.29446,-73.84969,Cundinamarca,Cundinamarca,True
2603,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.29446,-73.84969,Cundinamarca,Cundinamarca,True
2604,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.29446,-73.84969,Cundinamarca,Cundinamarca,True
2605,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.29446,-73.84969,Cundinamarca,Cundinamarca,True
2787,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.29446,-73.84969,Cundinamarca,Cundinamarca,True
2606,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.29446,-73.84969,Cundinamarca,Cundinamarca,True
2788,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.29446,-73.84969,Cundinamarca,Cundinamarca,True
2789,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.29446,-73.84969,Cundinamarca,Cundinamarca,True
2790,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.29446,-73.84969,Cundinamarca,Cundinamarca,True
2607,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.29446,-73.84969,Cundinamarca,Cundinamarca,True
2608,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.29446,-73.84969,Cundinamarca,Cundinamarca,True
2791,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.29446,-73.84969,Cundinamarca,Cundinamarca,True
2792,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.29446,-73.84969,Cundinamarca,Cundinamarca,True
2793,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.29446,-73.84969,Cundinamarca,Cundinamarca,True
2609,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.29446,-73.84969,Cundinamarca,Cundinamarca,True
2610,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.29446,-73.84969,Cundinamarca,Cundinamarca,True
2611,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.29446,-73.84969,Cundinamarca,Cundinamarca,True
2612,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.29446,-73.84969,Cundinamarca,Cundinamarca,True
2613,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.29446,-73.84969,Cundinamarca,Cundinamarca,True
2614,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.29446,-73.84969,Cundinamarca,Cundinamarca,True
2615,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.29446,-73.84969,Cundinamarca,Cundinamarca,True
2168,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.35,-74.27,Cundinamarca,Cundinamarca,True
2932,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.43279,-73.92042,Cundinamarca,Cundinamarca,True
2933,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.43279,-73.92042,Cundinamarca,Cundinamarca,True
2934,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.43279,-73.92042,Cundinamarca,Cundinamarca,True
2935,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.43279,-73.92042,Cundinamarca,Cundinamarca,True
2936,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.43279,-73.92042,Cundinamarca,Cundinamarca,True
2937,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.43279,-73.92042,Cundinamarca,Cundinamarca,True
2938,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.43279,-73.92042,Cundinamarca,Cundinamarca,True
2939,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.43279,-73.92042,Cundinamarca,Cundinamarca,True
2940,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.43279,-73.92042,Cundinamarca,Cundinamarca,True
2941,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.43279,-73.92042,Cundinamarca,Cundinamarca,True
2942,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.43279,-73.92042,Cundinamarca,Cundinamarca,True
2943,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.43279,-73.92042,Cundinamarca,Cundinamarca,True
2944,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.43279,-73.92042,Cundinamarca,Cundinamarca,True
2945,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.43279,-73.92042,Cundinamarca,Cundinamarca,True
2946,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.43279,-73.92042,Cundinamarca,Cundinamarca,True
2947,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.43279,-73.92042,Cundinamarca,Cundinamarca,True
2948,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.43279,-73.92042,Cundinamarca,Cundinamarca,True
2977,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.43279,-73.92042,Cundinamarca,Cundinamarca,True
2978,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.43279,-73.92042,Cundinamarca,Cundinamarca,True
2979,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.43279,-73.92042,Cundinamarca,Cundinamarca,True
2949,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.43279,-73.92042,Cundinamarca,Cundinamarca,True
2950,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.43279,-73.92042,Cundinamarca,Cundinamarca,True
2951,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.43279,-73.92042,Cundinamarca,Cundinamarca,True
2952,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.43279,-73.92042,Cundinamarca,Cundinamarca,True
2980,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.43279,-73.92042,Cundinamarca,Cundinamarca,True
2953,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.43279,-73.92042,Cundinamarca,Cundinamarca,True
2981,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.43279,-73.92042,Cundinamarca,Cundinamarca,True
